ID,Country,ISO,Region,Population,GDP,GDP_per_capita,Life_expectancy,CO2_emissions
38,Hungary,HUN,Europe,9600000,180000000000,18750,76.8,5.2
39,Greece,GRC,Europe,10700000,220000000000,20561,81.0,6.4
40,Romania,ROU,Europe,19000000,300000000000,15789,75.6,3.6
41,Russia,RUS,Europe/Asia,145000000,1700000000000,11724,72.4,11.5
42,Ukraine,UKR,Europe,41000000,150000000000,3659,72.0,5.0
43,Turkey,TUR,Europe/Asia,84000000,800000000000,9524,77.7,4.4
44,China,CHN,Asia,1410000000,17000000000000,12057,77.3,7.4
45,India,IND,Asia,1380000000,3400000000000,2464,69.7,1.9
46,Japan,JPN,Asia,125000000,5000000000000,40000,84.5,8.9
47,South Korea,KOR,Asia,52000000,1800000000000,34615,83.3,11.7
48,Indonesia,IDN,Asia,273000000,1200000000000,4396,71.7,2.3
49,Pakistan,PAK,Asia,225000000,350000000000,1556,67.3,0.9
50,Bangladesh,BGD,Asia,165000000,410000000000,2485,72.6,0.7
51,Sri Lanka,LKA,Asia,22000000,90000000000,4091,77.0,1.0
52,Nepal,NPL,Asia,30000000,36000000000,1200,70.8,0.5
53,Thailand,THA,Asia,70000000,540000000000,7714,77.2,4.5
54,Vietnam,VNM,Asia,98000000,410000000000,4184,75.4,2.0
55,Malaysia,MYS,Asia,33000000,370000000000,11212,76.2,8.0
56,Singapore,SGP,Asia,5700000,400000000000,70175,83.5,7.9
57,Philippines,PHL,Asia,109000000,390000000000,3578,71.0,1.6
58,Myanmar,MMR,Asia,54000000,70000000000,1296,66.9,0.7
59,Cambodia,KHM,Asia,17000000,28000000000,1647,69.8,0.7
60,Laos,LAO,Asia,7300000,19000000000,2603,68.7,0.5
61,Saudi Arabia,SAU,Asia,35000000,800000000000,22857,75.0,18.5
62,United Arab Emirates,ARE,Asia,9900000,420000000000,42424,79.0,22.0
63,Qatar,QAT,Asia,2800000,180000000000,64286,80.2,35.0
64,Kuwait,KWT,Asia,4300000,120000000000,27907,76.9,25.0
65,Iran,IRN,Asia,84000000,230000000000,2738,76.0,8.0
66,Iraq,IRQ,Asia,41000000,190000000000,4634,70.6,4.7
67,Israel,ISR,Asia,9300000,520000000000,55914,83.0,7.8
68,Jordan,JOR,Asia,10000000,45000000000,4500,74.3,3.1
69,Lebanon,LBN,Asia,6800000,20000000000,2941,78.9,3.7
70,Australia,AUS,Oceania,26000000,1600000000000,61538,83.0,15.4
71,New Zealand,NZL,Oceania,5100000,250000000000,49020,82.3,7.0
72,Papua New Guinea,PNG,Oceania,9000000,25000000000,2778,65.2,0.9
73,Fiji,FJI,Oceania,900000,5000000000,5556,67.3,1.9
74,Solomon Islands,SLB,Oceania,700000,1600000000,2286,73.0,0.4
75,Samoa,WSM,Oceania,200000,900000000,4500,73.8,0.6
76,Tonga,TON,Oceania,100000,500000000,5000,70.9,0.6
77,Nigeria,NGA,Africa,206000000,450000000000,2184,54.3,0.7
78,Ethiopia,ETH,Africa,115000000,110000000000,956,66.6,0.2
79,Egypt,EGY,Africa,102000000,400000000000,3922,72.0,2.5
80,South Africa,ZAF,Africa,60000000,370000000000,6167,64.1,7.5
81,Kenya,KEN,Africa,54000000,110000000000,2037,66.7,0.4
82,Tanzania,TZA,Africa,59000000,67000000000,1136,65.5,0.3
83,Uganda,UGA,Africa,45000000,45000000000,1000,63.4,0.2
84,Ghana,GHA,Africa,31000000,70000000000,2258,64.5,0.6
85,Ivory Coast,CIV,Africa,26000000,70000000000,2692,58.0,0.7
86,Senegal,SEN,Africa,17000000,27000000000,1588,67.0,0.7
87,Algeria,DZA,Africa,44000000,170000000000,3864,76.1,3.9
88,Morocco,MAR,Africa,37000000,130000000000,3514,76.9,2.0
89,Tunisia,TUN,Africa,12000000,40000000000,3333,76.5,2.5
90,Angola,AGO,Africa,33000000,62000000000,1879,61.6,1.3
91,Mozambique,MOZ,Africa,31000000,16000000000,516,61.0,0.3
92,Madagascar,MDG,Africa,28000000,14000000000,500,67.0,0.2
93,Zimbabwe,ZWE,Africa,15000000,21000000000,1400,62.5,0.8
94,Zambia,ZMB,Africa,19000000,23000000000,1211,63.0,0.4
95,Cameroon,CMR,Africa,27000000,39000000000,1444,60.3,0.4
96,Democratic Republic of the Congo,COD,Africa,90000000,55000000000,611,60.0,0.1
97,Sudan,SDN,Africa,44000000,30000000000,682,65.1,0.4
98,Chad,TCD,Africa,17000000,12000000000,706,54.0,0.1
99,Niger,NER,Africa,24000000,14000000000,583,62.0,0.1
100,Mali,MLI,Africa,20000000,17000000000,850,59.3,0.2
