ID,Country,ISO,Population,GDP,GDP_per_capita,Life_expectancy,CO2_emissions
45,India,IND,1380000000,3400000000000,2464,69.7,1.9
46,Japan,JPN,125000000,5000000000000,40000,84.5,8.9
47,South Korea,KOR,52000000,1800000000000,34615,83.3,11.7
48,Indonesia,IDN,273000000,1200000000000,4396,71.7,2.3
49,Pakistan,PAK,225000000,350000000000,1556,67.3,0.9
50,Bangladesh,BGD,165000000,410000000000,2485,72.6,0.7
51,Sri Lanka,LKA,22000000,90000000000,4091,77.0,1.0
52,Nepal,NPL,30000000,36000000000,1200,70.8,0.5
53,Thailand,THA,70000000,540000000000,7714,77.2,4.5
54,Vietnam,VNM,98000000,410000000000,4184,75.4,2.0
55,Malaysia,MYS,33000000,370000000000,11212,76.2,8.0
56,Singapore,SGP,5700000,400000000000,70175,83.5,7.9
57,Philippines,PHL,109000000,390000000000,3578,71.0,1.6
58,Myanmar,MMR,54000000,70000000000,1296,66.9,0.7
59,Cambodia,KHM,17000000,28000000000,1647,69.8,0.7
60,Laos,LAO,7300000,19000000000,2603,68.7,0.5
61,Saudi Arabia,SAU,35000000,800000000000,22857,75.0,18.5
62,United Arab Emirates,ARE,9900000,420000000000,42424,79.0,22.0
63,Qatar,QAT,2800000,180000000000,64286,80.2,35.0
64,Kuwait,KWT,4300000,120000000000,27907,76.9,25.0
65,Iran,IRN,84000000,230000000000,2738,76.0,8.0
66,Iraq,IRQ,41000000,190000000000,4634,70.6,4.7
67,Israel,ISR,9300000,520000000000,55914,83.0,7.8
68,Jordan,JOR,10000000,45000000000,4500,74.3,3.1
69,Lebanon,LBN,6800000,20000000000,2941,78.9,3.7
70,Australia,AUS,26000000,1600000000000,61538,83.0,15.4
71,New Zealand,NZL,5100000,250000000000,49020,82.3,7.0
72,Papua New Guinea,PNG,9000000,25000000000,2778,65.2,0.9
73,Fiji,FJI,900000,5000000000,5556,67.3,1.9
74,Solomon Islands,SLB,700000,1600000000,2286,73.0,0.4
75,Samoa,WSM,200000,900000000,4500,73.8,0.6
76,Tonga,TON,100000,500000000,5000,70.9,0.6
77,Nigeria,NGA,206000000,450000000000,2184,54.3,0.7
78,Ethiopia,ETH,115000000,110000000000,956,66.6,0.2
79,Egypt,EGY,102000000,400000000000,3922,72.0,2.5
80,South Africa,ZAF,60000000,370000000000,6167,64.1,7.5
81,Kenya,KEN,54000000,110000000000,2037,66.7,0.4
82,Tanzania,TZA,59000000,67000000000,1136,65.5,0.3
83,Uganda,UGA,45000000,45000000000,1000,63.4,0.2
84,Ghana,GHA,31000000,70000000000,2258,64.5,0.6
85,Ivory Coast,CIV,26000000,70000000000,2692,58.0,0.7
86,Senegal,SEN,17000000,27000000000,1588,67.0,0.7
87,Algeria,DZA,44000000,170000000000,3864,76.1,3.9
88,Morocco,MAR,37000000,130000000000,3514,76.9,2.0
89,Tunisia,TUN,12000000,40000000000,3333,76.5,2.5
90,Angola,AGO,33000000,62000000000,1879,61.6,1.3
91,Mozambique,MOZ,31000000,16000000000,516,61.0,0.3
92,Madagascar,MDG,28000000,14000000000,500,67.0,0.2
93,Zimbabwe,ZWE,15000000,21000000000,1400,62.5,0.8
94,Zambia,ZMB,19000000,23000000000,1211,63.0,0.4
95,Cameroon,CMR,27000000,39000000000,1444,60.3,0.4
96,Democratic Republic of the Congo,COD,90000000,55000000000,611,60.0,0.1
97,Sudan,SDN,44000000,30000000000,682,65.1,0.4
98,Chad,TCD,17000000,12000000000,706,54.0,0.1
99,Niger,NER,24000000,14000000000,583,62.0,0.1
100,Mali,MLI,20000000,17000000000,850,59.3,0.2
